Gene	vsNaive	vsPrimed	AveExpr	P.Value
AL590096.1	0.065050085	0.048077736	0.001416119	0.627670092
LRRFIP2	0.308722911	1.914175887	4.226501518	0.627702282
RPL23AP96	0.045346627	0.041296301	0.067305021	0.627749405
RPL39P5	-0.054194787	-0.031556343	0.06854167	0.627841078
USP25	0.404272689	1.689223462	3.532831467	0.627920034
AL359198.1	-0.058781287	-0.353720788	0.059179875	0.627922461
COL16A1	0.146833806	0.080857037	0.012122735	0.627945424
MEX3C	0.406428903	0.748935883	2.678310894	0.627948003
ZNF134	0.342770565	2.266837247	5.420919516	0.627975494
POC1B-AS1	-0.059617986	-0.104009607	0.061122506	0.62810981
AL645924.2	-0.068534256	-0.072436695	0.066002122	0.628142079
AC016773.1	-0.329828818	-0.1222252	0.307488353	0.628150847
USP8P1	-0.024474715	-0.041801888	0.028044889	0.62815966
AC103703.1	-0.070233851	-0.116414971	0.078164458	0.628174234
PPIAL4D	-0.030956097	-0.055218101	0.033492687	0.628298216
AC137055.1	-0.060234102	-0.037443935	0.073361817	0.628374795
AC009779.4	-0.109869036	-0.118355357	0.56171661	0.628377383
MR1	0.111569185	0.099890106	0.068937717	0.628408772
SNORA28	-0.091079482	-0.105215428	0.09981865	0.628447386
RNF166	0.276149277	0.758029866	1.17714557	0.628502443
AC009963.4	-0.02530975	-0.040932586	0.036358557	0.628530531
FMN2	-0.067480844	-0.093410781	0.060091245	0.628669012
AC026356.2	-0.429990623	-0.108231779	0.422418991	0.628719491
AC091390.3	-0.079445408	-0.149668323	0.139800557	0.628749628
AC015977.1	0.082584539	0.053674214	0.075229838	0.628834673
AC068138.1	-0.030116566	-0.092687132	0.032252378	0.628873985
AL158163.1	-0.101327425	-0.175187959	0.103184335	0.62890889
CDC23	0.632067604	0.516877671	5.784702633	0.629003408
AC092718.7	-0.187886862	-0.099398916	0.181669509	0.629028123
ICK	0.373531927	2.811602917	3.531487987	0.629046899
RAPGEF6	0.31560173	0.475363004	1.366004536	0.629066628
AL513175.1	0.220809308	0.677298824	3.661869884	0.629074858
AF196972.1	-0.074435498	-0.088506924	0.075843615	0.629124462
AMER1	-0.195429566	-0.172030552	0.34538692	0.629237799
BCR	0.318656595	1.614905694	2.827533621	0.6293156
EIF2AK4	-0.241598707	-1.023229012	5.081368497	0.629323201
HSPA12A	-0.146536412	-0.241729871	0.231822233	0.629359435
TMEM121B	-0.111220681	-0.108733056	0.102747245	0.629412487
RNF139-AS1	-0.265655724	-0.373707641	0.598760482	0.629530639
EFTUD1P1	-0.055042713	-0.211268226	0.061034337	0.629596472
AL136221.1	0.127590654	0.25142063	0.205247432	0.629653122
ZFYVE9P1	-0.07807764	-0.046998275	0.07234018	0.629732829
AC079880.1	-0.095819128	-0.109029425	0.186061962	0.629758948
L3HYPDH	0.358347108	2.061100008	2.770404181	0.629775418
CEP57L1P1	1.381052632	0.370955582	1.066117888	0.629799845
ADGRB3	-2.079529265	-0.126201738	2.05559993	0.629896262
RBFOX3	-0.043935897	-1.137941213	0.040906873	0.629902122
C12orf42	-0.085097964	-0.140444542	0.089774266	0.629947589
PLSCR2	0.162122105	0.429815352	0.381306346	0.630024085
DECR1	0.299122482	1.866158899	4.946282919	0.630044691
MED27	0.259436468	0.853397653	2.800133878	0.630135197
TM2D2	0.379485556	0.436591021	4.9908302	0.630184865
EDNRA	-0.096003831	-0.224495657	0.097819054	0.630217186
TECTA	-0.095896279	-0.356390252	0.085126967	0.630237059
AL357552.2	0.073789666	0.134122557	0.070412988	0.630320977
RUNX2	-0.067944007	-0.345041183	0.070490693	0.630331059
MOCS1P1	-0.028224231	-0.039183258	0.029716953	0.630354988
XRCC6P5	-0.117515924	-0.525479881	0.542317571	0.630477975
AC241585.3	-0.043177429	-0.105442132	0.043808025	0.630492116
LINC01004	-0.11340033	-0.376679366	0.182161104	0.630546452
PTPN12	-2.042845019	-0.520481828	5.821540412	0.630556369
CELSR1	0.284061458	0.603753811	1.098798226	0.63057053
TMEM138	0.268969356	2.629605596	4.622199769	0.630603539
PCNX4	-0.441933463	-0.536364841	3.491330795	0.630685279
AC002558.1	-0.140517359	-0.042031407	0.126267814	0.630747066
AC005077.2	-0.041450733	-0.055161672	0.039602038	0.630760304
RPS26P56	-0.027250351	-0.031734912	0.031827568	0.630821671
AC011472.2	-0.177043403	-0.057502697	0.180865364	0.631000897
CEBPB-AS1	-0.142091599	-0.109157741	0.139545295	0.631011143
AC094103.1	0.068553951	0.140181632	0.158916846	0.63103012
LINC00324	-0.393531384	-0.12285735	0.403228537	0.631033015
TJP1	-0.132670336	-0.395724069	0.640103246	0.631056933
TNFRSF13C	-0.052096552	-0.139608066	0.049929266	0.6310836
KRT18P20	-0.028688742	-0.065938155	0.028665028	0.631126842
LINC00667	0.498721382	0.448702678	2.944950443	0.631128652
MMS19	0.29262163	1.621733893	5.15516178	0.631131468
TMED6	0.151084837	0.452152474	0.326134046	0.631205038
AL512770.1	0.109487537	0.244796853	0.213478697	0.631216668
PABPN1	0.193278019	0.763481654	2.783548423	0.631235903
DDN-AS1	-0.145899398	-0.094454438	0.1551352	0.631251262
TNFRSF10C	0.322262199	0.203318801	0.400710148	0.631287878
CDC42EP3	3.810511086	0.417400235	1.542718824	0.631296702
GTPBP4	0.232216126	0.472224994	6.962747924	0.631320718
NGRN	0.256123135	0.217543717	4.287912644	0.631344034
CNN3P1	-0.023944299	-0.13785541	0.029747993	0.631400961
VTA1	-0.1428408	-0.488888741	7.812168881	0.631486932
QRSL1P2	-0.065415933	-0.039493942	0.063640974	0.631518254
SYT13	-0.084941058	-0.355918134	0.079512744	0.631527966
SOX9-AS1	0.247604119	0.130456804	0.030264227	0.63154224
AKAP13	0.878426893	0.442201271	2.627540559	0.631547428
RNASEL	-0.349010156	-0.128879378	0.336023677	0.631558181
RPS20P15	-0.125829675	-0.103387203	0.119105574	0.631621215
C18orf54	-0.408566223	-1.129045186	3.216080779	0.631741681
DNAH7	-0.348799842	-0.089813519	0.318336105	0.631765176
MTCYBP35	-0.026868751	-0.038016431	0.036949376	0.631797593
AC107072.2	-0.056945057	-0.122585234	0.055177495	0.631920711
AADAT	2.085958	0.480948603	1.447704516	0.631937732
BRWD1P2	0.048067078	0.076851815	0.084510992	0.631995276
PGAM1P4	-0.027679616	-0.08828282	0.03586754	0.63203128
FBXL18	0.308577246	2.274859457	2.050531048	0.632035814
ZFP82	0.396121143	2.494399616	4.172285349	0.632108782
AC093249.1	-0.103557768	-0.614679784	0.414756259	0.632139061
AC109458.1	-0.02717631	-0.286912298	0.037346459	0.632152382
SLITRK5	-0.072504424	-1.098694573	0.068414865	0.632199129
TRIL	-0.090272837	-0.230430828	0.084105625	0.632260807
LINC01456	-0.043479315	-0.520117007	0.045592058	0.63237962
DNAJA1	0.117548227	0.611642895	8.627624461	0.632440947
PLCB3	-1.702028271	-0.195119962	2.212354761	0.632470762
ABI3	-0.070849494	-0.220250616	0.062080402	0.632489492
AC099513.1	-0.105124365	-0.141783288	0.454959262	0.632491432
CALY	0.088932451	0.213908839	0.133114533	0.632555836
AC092142.1	-0.058894185	-0.417125788	0.065235745	0.632564121
RPS29P12	-0.073448132	-0.04550575	0.143539832	0.632577644
ZFC3H1	0.338406196	0.973813213	4.469278521	0.63258805
PIK3C2B	-0.254985402	-0.25587938	0.717601011	0.632589435
RNU6-817P	-0.105341175	-0.059264158	0.110448663	0.632641251
TPM3P1	-0.067480012	-0.042664895	0.07985051	0.632737154
HNRNPKP2	-0.139910108	-1.507538785	4.400589046	0.632744713
ANO2	-0.611097302	-0.119922936	0.595825621	0.632875888
CHCHD5	0.187452217	1.308878048	3.861540607	0.632877847
PRCP	-0.286372611	-0.661538999	5.866302513	0.632879417
PKD1L2	0.228205685	0.284234265	0.605488253	0.63294571
AC024145.1	-0.054044222	-0.183068765	0.058341869	0.633003222
TYW5	-1.795454562	-0.498523073	4.063461706	0.633016852
ALDH1A3	-0.427235347	-0.120064829	0.402905288	0.633044009
PRELID3BP6	-0.026377502	-0.059821062	0.02779995	0.633129278
AC100832.2	0.094177079	0.057940376	0.009236165	0.633145913
ANGPT2	-0.264592708	-0.106800208	0.27593908	0.633224191
SSTR1	-0.091019488	-0.529537431	0.079753942	0.633230911
BMS1P9	-0.063974776	-0.047683632	0.061324957	0.633299161
TMED4	-0.202050829	-1.290938288	5.492499539	0.63335733
WDR82P1	-0.357521886	-0.099490181	0.389280092	0.633384568
LINC02542	-0.080342006	-0.107306899	0.078957411	0.633393448
CROCC	0.251044986	0.196788019	0.510755185	0.633412081
PROX1	-0.252774199	-0.133973147	0.23764737	0.633415141
AC011604.1	-0.026176224	-0.093766112	0.037478415	0.633460745
AP003486.1	-0.078218876	-0.141195747	0.069883831	0.633518168
AKR7L	0.120264286	0.082325447	0.045961023	0.633531485
LCK	-0.085983476	-3.605468836	0.080416414	0.633651378
AC245389.2	-0.034173138	-0.073218994	0.031894953	0.633659494
TRIM60P14	-0.851124271	-0.085600937	0.8288576	0.63367153
AL353708.3	-0.074749748	-0.251782833	0.072880213	0.633714856
AC011773.3	-0.088307477	-0.089931386	0.08440963	0.633761123
SETP3	-0.190435352	-0.186541324	1.590983026	0.633769111
NEK7	0.377432837	0.862926392	1.815059083	0.633824792
MSI2	1.780127732	0.409370791	1.184887552	0.633860044
LINC00342	-0.073070161	-0.111558341	0.067917769	0.633922993
WASIR2	-0.068636153	-0.171971192	0.078206144	0.633925143
DNAH6	-0.073048928	-0.125590145	0.068686169	0.633940908
KATNAL1	-0.907055117	-0.36878692	1.721032849	0.633965717
RPS18P13	-0.057948808	-0.035704725	0.072145624	0.633966833
ATP12A	-3.14983172	-0.112556786	3.032346754	0.633983817
HBA1	-0.045120843	-0.045625617	0.04604163	0.634031281
NCOA4	0.150004521	2.825683725	7.746309353	0.634042145
CARD9	-0.128690594	-0.077486824	0.132623808	0.634063696
EXOSC9	-0.499438187	-0.353164077	6.782258988	0.634117648
AC010643.1	-0.162547097	-0.098547973	0.15579134	0.63413959
AL139412.1	-0.075659384	-0.211538492	0.078711359	0.634151507
AC099795.2	0.054739964	0.08275835	0.039441789	0.634229852
AP005230.1	-0.183511462	-0.110387462	0.174979755	0.634247927
HECTD3	0.368951776	2.960772333	3.67826235	0.634323849
NUTF2P2	-0.05328376	-0.080696471	0.118502633	0.634361386
POLR2J4_ENSG00000272655	-0.496102655	-0.139006123	0.610033274	0.634489872
GRIP1	-0.084367301	-0.565028042	0.083063392	0.634491083
AC108475.1	0.176383029	0.140485789	0.167399729	0.634516728
AL122013.1	-0.059870851	-0.024155455	0.077176144	0.634520431
AC025423.1	0.095275239	0.217184728	0.150130331	0.634535012
GALNT13	-0.10235717	-1.256049659	0.101808958	0.63461343
BCDIN3D-AS1	-0.080628746	-0.258498017	0.077240473	0.634614669
DEUP1	-0.062273286	-0.193421211	0.058673184	0.634630557
CCSAP	0.409858343	2.571283514	2.865595248	0.634657182
FAM86KP	-0.064187322	-0.031629143	0.067263936	0.63468821
RTL9	-0.108598103	-0.179203659	0.123480208	0.634703495
AC009961.3	-0.063306583	-0.11201308	0.067857129	0.634737908
PP14571	0.014835873	0.021486833	0.006775895	0.634769184
NEXMIF	-0.260922881	-0.106061026	0.237258995	0.634805376
RETSAT	0.296932393	0.856043359	1.225349197	0.634849094
AC007448.3	0.112919866	0.073021003	0.032640055	0.634923564
MEMO1P3	-0.035156487	-0.050061677	0.034056481	0.634960664
PAN2	0.378000441	1.194420913	2.430917008	0.63501823
ST20-MTHFS	-0.079293787	-0.053585567	0.0884169	0.635025345
RPAP2P1	-0.212783319	-0.112059253	0.29202058	0.635066423
RASGEF1B	-0.237399244	-0.334132489	0.650530099	0.635126517
PSMD6-AS2	0.204506515	0.486356838	0.51236488	0.635155395
AC073195.1	-0.05557621	-0.209050152	0.054680592	0.635169244
RSPO3	0.252212568	0.808044955	0.553337549	0.635189694
ATP6V1H	0.243672032	1.914176404	5.982010179	0.635236083
DNAJC27-AS1	0.21004719	0.126606676	0.108698364	0.635334426
AC008507.3	-0.029192879	-0.058669034	0.034557393	0.635349273
PREPL	1.147643791	0.490652104	3.422972802	0.635355228
MT-TM	-0.164142371	-0.412324817	1.347058274	0.635423546
PDCL3P7	-0.026558427	-0.029458049	0.030788068	0.635427394
ATF4P2	-0.03631013	-0.042999718	0.035221177	0.635428983
PPIL1	0.158595736	1.157893187	6.674315597	0.635498762
AL445669.1	-0.029217775	-0.031345282	0.031386009	0.635498798
SRRM2-AS1	-0.135282978	-0.084506247	0.146719224	0.635505091
AL049776.1	-0.150942155	-0.105747482	0.144121284	0.635507603
ANAPC1	0.20278039	1.654216362	4.932778435	0.635594953
NUS1P2	-0.080351059	-0.066121262	0.079319527	0.635601423
FBXL16	-0.208416607	-0.092138656	0.21181808	0.635693505
B3GALT2	-0.085490972	-0.149991727	0.077871925	0.635790908
SMIM26	-0.131411176	-0.457180226	5.24671139	0.635825934
TAPBP	0.223069489	0.090085749	0.094823349	0.635936029
SNORA9B	-0.073068134	-0.058220457	0.076312935	0.635972241
PAH	-0.147662139	-0.118307077	0.13539296	0.636024191
HCAR2	0.165432462	0.47782135	0.318859401	0.636068044
AC068446.1	-0.102235083	-0.039561378	0.0933933	0.636102933
RPS2P1	-0.060105131	-0.027649475	0.066174765	0.636424466
AL024498.1	-0.10111462	-0.120405303	0.101952516	0.636490019
AL627171.1	-0.087773939	-0.161269753	0.094908539	0.636502281
MAP3K10	-0.06668834	-0.051265581	0.067157264	0.636617749
SP2-AS1	-0.170344191	-0.106407227	0.161328289	0.636693216
MAPK6PS6	-0.037120311	-0.105461924	0.033979452	0.636695897
RAD51D	0.323138077	1.533331192	2.042599637	0.636704146
AC087854.1	-0.119977845	-0.207382505	0.558600081	0.636719134
PFN1P2	-0.191470137	-0.058886568	0.182934988	0.636734458
AC083880.1	-0.177232069	-0.101002636	0.177791457	0.636744977
BRD4	0.191541167	0.690661716	4.744628269	0.636852817
CC2D2B	0.160469513	0.449025471	0.402835668	0.636927427
AL627422.1	-0.053363051	-0.034567324	0.060374397	0.636969096
LYPLA1P2	-0.284290291	-0.100714486	0.508348054	0.636969175
MTND4P24	-0.184986781	-0.677656897	1.769578989	0.636982445
SELENOH	0.129273591	0.593798766	5.254991063	0.63701364
ACTG1P21	-0.027263071	-0.031218544	0.031527619	0.637018617
AC022382.1	0.087991563	0.06412199	0.054330628	0.63714591
ZNF154	-0.688910062	-0.320096674	1.30735267	0.637176775
RBFADN	-0.16950149	-0.083138173	0.172186694	0.637201929
AC009220.1	-0.357388323	-0.159936771	1.714259389	0.63720403
PIEZO2	-0.073840094	-1.760568309	0.070408013	0.637248551
GNL3LP1	-0.118805266	-0.057351961	0.1179619	0.63726169
SLC38A3	-0.180013063	-0.105599909	0.167724086	0.637271708
AL589843.2	-0.817151595	-0.095173838	0.943649851	0.63737822
PGM5P2	-0.113992322	-0.083349696	0.109678583	0.637389766
HES3	-0.049126543	-0.104601998	0.044394443	0.637401537
ALG13-AS1	-0.044238721	-0.060547046	0.049147431	0.637486731
BTN2A3P	-0.138542525	-0.177715511	0.22667018	0.637533891
KCTD17	-0.133455606	-0.246000066	0.261558868	0.637634735
MNT	0.193491046	0.545996804	0.762236572	0.637697885
MEGF9	-0.493494869	-0.19523861	0.58913514	0.637708224
CDV3P1	-0.053438451	-0.032988398	0.052699872	0.637727385
HNF4G	-0.397979678	-0.122675092	0.372050079	0.637742407
RPL7AP57	-0.058996838	-0.032021641	0.058501638	0.637920603
GAS1	-0.100200781	-0.122245517	0.101514277	0.638078765
AC104971.2	-0.092279443	-0.155146921	0.085197413	0.638195005
NSMCE2	-0.695294745	-0.465179648	3.900694696	0.638218141
HMGB1P13	0.09355718	0.047264186	0.012480858	0.638281173
NEK5	-1.18878064	-0.230250755	1.334361738	0.638468186
ALG1L13P	-0.244880379	-0.080370705	0.232665803	0.638475571
SDF2L1	0.218653608	3.6152784	5.838132729	0.6384809
MIS18A	-0.458202006	-0.250173759	6.442339013	0.638651874
AC087783.2	-0.239682061	-0.65597906	0.843883464	0.63868283
MYO5C	-0.623724161	-0.391091042	1.996571413	0.638744601
PRKN	-0.07156214	-0.13447102	0.065209875	0.638744882
FAM183A	-0.054026074	-0.148477548	0.057650407	0.638789473
AL353754.1	-0.046230903	-0.039433756	0.059644866	0.638791595
ACTR1B	0.309638534	2.036146249	3.619036829	0.638827863
TBC1D8B	-0.416518899	-0.324569204	0.857009635	0.638867856
AOC3	0.127271725	0.239417726	0.200398218	0.638964791
BET1	-0.280102498	-1.264729979	4.998634667	0.638983247
AC016724.1	-0.026842965	-0.027409348	0.032022868	0.639115548
NELL2	-0.111050609	-3.211782924	0.114395362	0.639169982
SPINK5	-2.945311732	-0.272319488	3.393600269	0.639226277
SNRPCP5	-0.083336231	-0.040033705	0.103135391	0.639263229
AC092718.3	-0.143485828	-0.057030306	0.138673472	0.63926891
SLC9B1	-0.079339724	-0.602778512	0.096878365	0.639308364
AC073343.2	-0.077705263	-0.152511946	0.07762211	0.639313631
CELF4	-0.182991508	-0.086989486	0.19414556	0.63931901
AL391121.1	-0.709226415	-0.067263652	0.746787162	0.639380687
LINC01301	-0.050016572	-0.086819518	0.044623836	0.639788552
SLC12A5	-0.102493524	-0.180063154	0.224664979	0.639966815
LAMA4	-0.090225656	-0.203548671	0.09462155	0.639993426
AL163973.1	-0.024698444	-0.039916515	0.024421251	0.640020691
RAB3C	-0.062364951	-1.719859469	0.067984389	0.640076354
EFCAB14P1	0.109879128	0.474629247	0.468974837	0.64019157
RDH14	0.292827218	1.130433016	4.14912584	0.640209159
SCARNA1	0.289884856	0.160448924	0.123878261	0.640290515
CYC1	0.13978903	1.630163223	7.812521413	0.64033458
AP001005.4	-0.072793257	-0.034892283	0.07410414	0.640411684
VWA3B	-0.133744634	-0.048570864	0.135689057	0.640466742
HMGB1P45	-0.028204748	-0.121273247	0.032602276	0.64047057
DGCR6	-0.28135747	-0.0527735	0.32054356	0.640488051
Y_RNA_ENSG00000199366	-0.180811417	-0.085948798	0.164763731	0.640573871
AC064836.1	-0.045738256	-0.198656797	0.048196268	0.64061995
PLPPR3	0.054729922	0.061789625	0.039022698	0.640633623
AC008873.1	-0.073939025	-0.097296934	0.068668713	0.640645579
PGAM1P6	-0.039528747	-0.078221992	0.050072444	0.640649829
KCNG3	-0.340301312	-0.137243914	0.320847039	0.640730249
AC114801.3	-0.238610748	-0.508762589	2.613833063	0.640797657
CYCSP24	0.06519762	0.071388105	0.134528518	0.640798929
SNORD91B	-0.070133454	-0.077554602	0.06362634	0.640863019
MT1X	-3.981869919	-0.286304388	7.697870301	0.640883714
AC136601.2	-0.051213201	-0.246881978	0.092652518	0.640946329
AC027559.1	-0.059435476	-0.189114879	0.069369172	0.640955553
AC034243.1	0.174181904	0.102930491	0.069203749	0.640994889
FRS2	0.381651225	1.306602754	2.720375039	0.641068276
PLEKHM1P1	0.209345071	0.894211712	0.827481035	0.641116328
C11orf71	0.654815253	0.397283143	1.711139962	0.641181585
HNRNPA1P28	-0.088612872	-0.153729383	0.389562758	0.641250778
AC124947.1	0.13992256	0.315189129	0.255638834	0.64128437
AC024940.1	-0.031311025	-0.48021668	0.032187321	0.641378944
MS4A13	0.054452128	0.069534771	0.039834511	0.641419091
LINC00504	-0.142022138	-0.11524476	0.128542985	0.641631844
AC020891.4	0.134219065	0.082081619	0.215630454	0.641686991
PDE3B	-0.092414475	-1.466282288	0.096205449	0.641760863
Y_RNA_ENSG00000200834	-0.070797925	-0.05751806	0.066348588	0.641782479
COPB1	0.541249484	0.393219482	7.150804422	0.64180973
PCDH15	-0.10420231	-0.10733688	0.09547528	0.641833268
AC025518.1	-0.152340721	-0.076636432	0.293355615	0.641846534
AL354928.1	-0.096764644	-0.078002891	0.092483441	0.641896959
LINC00654	-0.280824418	-0.105033	0.288523815	0.641970515
HIGD1AP16	-0.051585094	-0.094522854	0.052084333	0.642043838
SEC14L1	-1.192616748	-0.403170597	3.117226561	0.642237769
TSEN2	-1.527194525	-0.424599251	3.090993437	0.642261446
FUBP3	0.265958597	2.248271292	4.718751051	0.642288976
SH3TC2	0.084731944	0.152494879	0.075114958	0.642346524
REEP2	-0.068372672	-0.889388666	0.064451614	0.642369489
SEC14L5	-0.287879326	-0.102648938	0.275646705	0.642370913
UBLCP1	0.82216565	0.499660411	5.356389522	0.642384147
AC105342.1	-0.051076449	-0.040880399	0.053661924	0.642388023
AL645728.1	-0.819623122	-0.10637729	0.8014578	0.642444953
RNU6-7	-0.033987543	-0.047491514	0.037093504	0.642447434
AC093895.1	-0.111205066	-0.091643189	0.111421775	0.642491783
AC245060.6	-0.083122611	-0.185752808	0.086103913	0.642796438
TTC21B	-0.388260662	-1.275857186	2.59649377	0.642825284
ABCF1	0.087130567	0.256853075	0.290793379	0.642833663
FARSB	0.507018418	0.390193379	7.159136683	0.642895056
ADAMTSL3	-0.169084547	-0.092515378	0.16896214	0.642898759
CRISPLD1	-0.278869887	-1.918720999	0.752772565	0.642921004
DSTNP2	-3.975177384	-0.187911946	4.725759064	0.642945229
MIR6835	0.016960468	0.016329184	0.004914263	0.642970465
STAR	-0.09564023	-0.20804418	0.124291435	0.642974295
DLG2	1.095901436	0.308523128	0.140088123	0.643048434
AC244093.1	-0.034563319	-0.025928936	0.043061486	0.643060664
FAM157B	-0.044256233	-0.052872852	0.047258896	0.643086862
GABRP	-0.040931113	-0.467939107	0.039774206	0.643187509
AL354821.1	-0.033748441	-4.354008796	0.037308899	0.643237777
PASK	0.349057602	1.326801107	2.233462049	0.6432914
NXN	-0.702228903	-0.315421491	2.011613469	0.643297016
GPR27	-0.617991014	-0.28361504	1.162545924	0.643348216
ABO	-0.174023049	-0.123847533	0.156755652	0.643384783
OCIAD1-AS1	-0.070379121	-0.065915128	0.064397656	0.643473856
PSD	-0.227416029	-0.038240375	0.236690203	0.64348608
TPM3P8	0.190933168	0.146052353	0.872254834	0.643594864
OLIG1	-0.0590659	-0.264242557	0.055607987	0.643596103
AC020893.2	0.061407171	0.110544435	0.084433738	0.643829817
ROBO2	-0.084682895	-1.495378228	0.084151662	0.643840366
EBF4	-0.07150052	-0.058650505	0.0789561	0.643876006
AC138904.1	-0.073588384	-0.315398841	0.071057627	0.643885936
EIF4A1P1	-0.025715465	-0.030193463	0.035463078	0.643903996
PTGR1	0.1656874	0.75593763	6.266837955	0.643974918
ZNF469	-0.100519428	-0.095238161	0.111310815	0.644008214
HNRNPA1P62	-0.040652137	-0.063275354	0.044691687	0.64405677
KCTD13	0.266165184	0.518610897	1.290220054	0.644084002
DCLRE1C	0.377370997	0.579015956	2.974443076	0.644191002
AL928654.2	-0.07560737	-0.126682646	0.073728368	0.644302073
AC063952.2	-0.026856299	-0.054233195	0.028537553	0.644399058
AC003029.1	0.052753394	0.078615465	0.042629038	0.644403809
SMARCE1P6	0.365163213	0.161239087	0.959969533	0.644622509
AC139100.1	-0.049560362	-0.058673695	0.048919737	0.644627738
PHF19	-0.218156532	-0.58116626	0.705303219	0.644769273
OPA3	0.280169834	2.535297647	3.720309022	0.644874633
AL354714.5	-0.119164189	-0.031390717	0.127875242	0.644909006
LINC01002	-0.137013606	-0.03698477	0.132049169	0.644913048
AC100800.1	-0.089534899	-0.097634638	0.085920322	0.644918787
TMEM42	-0.290740958	-1.960656491	1.340551359	0.644953164
RPL7P35	-0.024268855	-0.046845395	0.031451364	0.645013698
AC103706.1	-0.081938503	-0.128131732	0.091756234	0.645022778
SERBP1P3	-0.057661522	-0.069577663	0.111496202	0.645025135
LINC02095	-0.588230882	-0.107151546	0.588299573	0.645067724
AC010409.1	-0.027297828	-0.067455466	0.031260553	0.645123805
HIST2H2AA4	-0.033028487	-0.025094514	0.037054202	0.645193561
MORF4L1P3	-0.108005866	-0.950091589	0.450862479	0.64524573
AC083906.6	-0.142378316	-0.034401024	0.146342367	0.645266105
SWI5	0.542062911	0.310949194	2.651376547	0.645266203
AC008440.1	-0.039849248	-0.151082579	0.038675269	0.645275842
SCIMP	-0.133438406	-0.080420673	0.131384633	0.64539245
AC096759.2	-0.114516567	-0.119791796	0.119541489	0.645392969
UPF3AP3	-0.066069077	-0.024303641	0.070862377	0.645398641
AC015802.6	-0.059326185	-0.160348997	0.063812654	0.64543324
CAMK4	-0.108917057	-0.588046297	0.1083563	0.645439283
AC145343.1	-0.094287351	-0.081842237	0.09045748	0.64553939
AP001102.1	-0.061919791	-0.045663536	0.069873257	0.645539606
CTCF	0.24798363	1.16115167	5.154854048	0.645600147
RPL12P10	-0.061522695	-0.054284034	0.060006226	0.645623047
AC112719.2	-0.259470402	-0.074863706	0.248774139	0.64563002
AC044913.1	-0.105539577	-0.181257219	0.412270611	0.645714054
SLC4A2	0.288641854	3.146899977	3.376330605	0.645731256
SYT2	-1.721397098	-0.097038838	1.671212755	0.645746225
RARRES2	-0.069334952	-4.899388408	0.073027173	0.645766794
RPL18P13	0.129535158	0.554344398	0.902711943	0.645773254
MYLK-AS1	-0.064609522	-0.51931181	0.07518589	0.645820728
AC051619.2	-0.030168629	-0.045898139	0.035995705	0.645826219
NAPA-AS1	0.195138938	0.119115823	0.071665246	0.645843402
ABCA10	-0.031670963	-0.044223559	0.028351722	0.645917501
AHSG	-0.108588399	-0.093331966	0.113680397	0.645956956
TM4SF18	-0.115188267	-1.371054473	0.112254931	0.645981832
AL591895.1	0.227005324	0.135497886	0.138105032	0.646042483
AC140479.4	-0.052672802	-0.055323482	0.053538168	0.646077332
AJ011932.1	-0.411627864	-0.072735052	0.414991524	0.646103782
AC097347.1	-0.078584184	-0.076727862	0.07445117	0.646161205
PPP2R1B	3.747374702	0.446358284	2.949610997	0.646201548
AL354872.2	-0.420231129	-0.082878472	0.394437241	0.646304842
AC092127.1	0.026328758	0.040283435	0.014112305	0.646307942
HMGB1P31	-0.072359596	-0.080268827	0.065389054	0.646340902
AC012358.2	-0.119328815	-0.096817319	0.123157864	0.646371555
TYSND1	-0.447969802	-0.309216574	1.533369996	0.646458794
AC104966.1	-0.275018007	-0.079485827	0.267028206	0.646468089
HNRNPA1P57	-0.033313385	-0.025571479	0.033439638	0.646477322
TMEM106A	-1.460901044	-0.093684305	1.446032232	0.64653551
TNMD	-0.085102953	-0.28078547	0.097791377	0.646542022
BISPR	-0.05216947	-0.318565011	0.045712418	0.646607295
F2RL2	-0.110037708	-0.096303593	0.110336139	0.646629655
AC120053.1	-0.071444952	-0.404141446	0.064900562	0.646666572
LINC01249	-0.207921768	-0.109755904	0.221270713	0.646711135
AL390195.2	-0.081929439	-0.092428628	0.073513032	0.646790723
AC022447.4	-0.023849475	-0.074226043	0.026084139	0.646809406
AC007365.1	-0.071931931	-0.109235573	0.07708816	0.646871464
AP006222.1	-0.040024018	-0.084833219	0.041628809	0.646883356
AL031666.3	0.15580243	0.415741597	0.350468153	0.646902398
LRRC8E	0.079658441	0.23095211	0.152130398	0.646972904
CHMP4B	0.23429375	0.68197987	0.977837012	0.646987139
AC060780.1	-2.055745487	-0.214105457	2.409564927	0.647075354
HNRNPA3P12	0.114725433	0.080710901	0.185056476	0.647133356
AL132780.5	-0.080184123	-0.127881798	0.084017434	0.647148174
R3HCC1	0.277422441	1.989268651	3.85343726	0.647193766
AC092123.2	-0.212932864	-0.088748192	0.214755645	0.647213159
CAB39	0.367369658	2.03333786	4.038227608	0.647222081
AC068205.2	-0.102610738	-0.138699399	0.110537775	0.647229156
LINC01232	0.241444118	0.150075535	0.142698134	0.647272685
AC034236.2	-0.173186478	-0.184182619	0.34034122	0.647552677
AC007996.1	-1.177193966	-0.127749707	1.148724658	0.64755661
ZRANB3	-0.268562908	-0.465303352	3.255476166	0.64760008
IL6STP1	0.124981092	0.677160029	0.571942945	0.647606062
MALRD1	-0.147103877	-0.084330909	0.1440505	0.647696582
