Gene	logFC	logCPM	F	PValue	FDR	logCPM_primed	logCPM_naive
AL512347.1	12.23520638	0.634791442	53.98230367	1.94E-06	9.50E-05	-5.482811746	6.752394629
KRT16P3	12.38461901	0.699991092	53.98072131	1.94E-06	9.50E-05	-5.492318413	6.892300596
CBFA2T2	3.790940954	5.479978121	50.91052678	1.94E-06	9.50E-05	3.584507644	7.375448598
PPP1R2P9	12.30427464	0.620570719	53.78498885	1.98E-06	9.69E-05	-5.5315666	6.772708039
FUT9	-8.083481576	2.525468101	55.04766022	1.99E-06	9.74E-05	6.567208889	-1.516272687
AC073349.2	9.190142234	2.492426381	57.20190924	2.00E-06	9.76E-05	-2.102644736	7.087497498
LINC01160	8.449072404	3.548286423	59.76411515	2.01E-06	9.79E-05	-0.676249779	7.772822625
GLYATL1	-7.922755931	2.117014282	53.34846889	2.01E-06	9.80E-05	6.078392247	-1.844363683
RASL12	-12.28098641	0.72287617	53.61215481	2.02E-06	9.81E-05	6.863369375	-5.417617036
ZNF726	7.057431148	1.750633495	50.53450264	2.03E-06	9.85E-05	-1.778082079	5.279349069
C6orf106	4.075447423	6.693856235	53.10568002	2.04E-06	9.85E-05	4.656132524	8.731579947
PRKD1	-8.723918407	1.743413623	53.34815205	2.04E-06	9.85E-05	6.105372827	-2.61854558
CLEC1A	8.189825041	1.39005925	50.48421698	2.04E-06	9.87E-05	-2.70485327	5.484971771
MYEF2	-6.198916738	4.575966965	57.25100442	2.05E-06	9.88E-05	7.675425333	1.476508596
SEPHS2	3.55639642	8.355189633	50.44625867	2.05E-06	9.88E-05	6.576991423	10.13338784
TPGS2	-3.541291341	7.132728452	50.42558802	2.06E-06	9.89E-05	8.903374122	5.362082781
AC012355.1	12.23035379	0.555193871	53.28540378	2.10E-06	0.000100569	-5.559983023	6.670370765
AC069306.1	-12.24177894	0.575515396	53.17064246	2.12E-06	0.000101748	6.696404868	-5.545374075
TNS3	4.363239375	4.585485104	50.11886169	2.14E-06	0.00010235	2.403865416	6.767104791
AC106799.2	7.660278116	1.386133871	50.09038976	2.15E-06	0.000102562	-2.444005187	5.216272929
AC004130.1	-6.728406189	2.434645152	50.52331638	2.16E-06	0.000102667	5.798848247	-0.929557942
HDGFL1	12.20112639	0.533008856	53.03946516	2.16E-06	0.000102667	-5.567554337	6.633572049
COL1A2	-7.313939341	2.462000368	52.81797003	2.17E-06	0.00010298	6.118970039	-1.194969302
FBN2	-5.129344033	3.450192855	49.99840034	2.17E-06	0.000103131	6.014864872	0.885520839
PKP3	6.289016791	4.20450222	56.38611728	2.18E-06	0.000103168	1.059993825	7.349010615
AC087499.3	6.799246758	1.889764146	49.94927968	2.19E-06	0.00010346	-1.509859233	5.289387525
NFKB2	5.54871341	4.635281229	55.13692375	2.19E-06	0.000103629	1.860924524	7.409637934
EDIL3	-4.293085186	4.36206912	49.90719369	2.20E-06	0.000103629	6.508611714	2.215526527
TBX3	9.213455316	2.11055725	54.96646151	2.20E-06	0.000103629	-2.496170408	6.717284908
EID3	5.737850724	3.008723265	49.86267851	2.21E-06	0.000103871	0.139797903	5.877648627
CCNO	12.21557401	0.536955388	52.81333919	2.21E-06	0.000103871	-5.570831618	6.644742393
AC023300.2	-12.15820901	0.542454432	52.80731446	2.21E-06	0.000103871	6.621558937	-5.536650072
ZNF835	12.17101127	0.51717655	52.79416107	2.22E-06	0.000103873	-5.568329085	6.602682186
SLITRK3	-9.370429216	1.920124941	53.19930826	2.22E-06	0.000103972	6.605339549	-2.765089667
PIPOX	-4.759989595	4.015994307	49.80338319	2.23E-06	0.000103972	6.395989105	1.63599951
AC064875.1	-12.27339756	0.616796616	52.59443541	2.27E-06	0.000105829	6.753495395	-5.519902163
PINK1	4.78286349	4.428114147	51.274132	2.28E-06	0.000106171	2.036682402	6.819545893
MUC15	12.19427999	0.653217303	52.46905053	2.30E-06	0.000107062	-5.443922694	6.7503573
LHX8	5.533559304	3.188410604	49.49636295	2.32E-06	0.00010738	0.421630952	5.955190256
CA2	3.736825793	5.476963185	49.49146431	2.32E-06	0.00010738	3.608550289	7.345376081
A4GALT	6.708631339	5.052593621	58.23734874	2.33E-06	0.000107835	1.698277951	8.40690929
TAGLN	-6.160959181	5.532169573	58.18750688	2.34E-06	0.000108205	8.612649163	2.451689983
SLA	-8.058597063	1.631708523	50.52194731	2.37E-06	0.000109297	5.661007054	-2.397590009
FXYD4	8.729328578	1.489415641	51.41227539	2.38E-06	0.000109444	-2.875248648	5.85407993
AC069148.1	-12.15955521	0.58082982	52.18603405	2.38E-06	0.00010951	6.660607425	-5.498947786
TBC1D23	3.563675085	8.197151639	49.20960846	2.40E-06	0.000110337	6.415314097	9.978989181
TATDN2P1	12.11783271	0.473897307	51.98069443	2.44E-06	0.000111842	-5.585019046	6.532813661
EPHA1-AS1	-5.977275529	2.987084321	49.65469571	2.46E-06	0.000112472	5.975722086	-0.001553443
SOX21-AS1	12.1002317	0.495832637	51.70492533	2.52E-06	0.000114934	-5.554283215	6.545948488
SH3TC1	7.811933667	2.209593937	51.95832028	2.52E-06	0.000114934	-1.696372896	6.115560771
MOXD1	-6.858982517	1.909854966	48.82785214	2.52E-06	0.000114934	5.339346225	-1.519636293
ZDHHC2	-8.246326462	3.522897618	57.4289514	2.52E-06	0.000114934	7.646060849	-0.600265613
CU459211.1	5.922752879	2.489653735	48.81234887	2.53E-06	0.000114934	-0.471722705	5.451030174
IFI16	3.646156873	6.743906385	48.73568075	2.55E-06	0.000115721	4.920827949	8.566984822
TACSTD2	5.9599688	2.471822672	48.72245052	2.56E-06	0.000115721	-0.508161728	5.451807072
HCLS1	4.76645011	3.697015258	48.72085488	2.56E-06	0.000115721	1.313790202	6.080240313
CELF2	-4.451606739	4.0081859	48.71440391	2.56E-06	0.000115721	6.23398927	1.782382531
PDE4B	-6.56328506	3.022481253	51.74693663	2.58E-06	0.000116602	6.304123783	-0.259161277
CD300A	-7.646185357	2.097304906	50.96348158	2.60E-06	0.000117393	5.920397585	-1.725787772
IDO1	-7.508250141	1.407986052	48.56563472	2.61E-06	0.000117458	5.162111122	-2.346139019
DPPA2	3.801062488	5.136315575	48.52241156	2.62E-06	0.000117947	3.235784331	7.036846819
LRP2	4.935002922	3.95123788	49.23975129	2.65E-06	0.000118941	1.483736419	6.418739341
BEND5	-4.311730286	4.193652566	48.42051583	2.66E-06	0.000119172	6.349517709	2.037787423
ACP5	5.051431809	4.383490401	51.47768215	2.67E-06	0.000119309	1.857774497	6.909206306
AP002387.1	-3.670854012	5.45446283	48.3520683	2.68E-06	0.000119866	7.289889836	3.619035824
MAGEC2	12.06734657	0.427730701	51.15918397	2.69E-06	0.000119866	-5.605942583	6.461403986
PINCR	12.15196209	0.63775039	51.06377804	2.72E-06	0.000120992	-5.438230656	6.713731435
CDA	4.317326254	5.879590096	51.46557167	2.72E-06	0.000120992	3.720926968	8.038253223
SPRY4-AS1	-12.04276095	0.392361501	51.03902645	2.72E-06	0.000121069	6.413741977	-5.629018975
SCUBE2	5.99714065	2.658521877	48.19391173	2.74E-06	0.000121513	-0.340048448	5.657092202
CAPN11	-12.18285054	0.651616189	50.91178702	2.77E-06	0.000122566	6.74304146	-5.439809082
SIX6	-10.01941879	1.956507645	53.05784354	2.77E-06	0.000122604	6.966217041	-3.05320175
AC091820.2	-12.04523381	0.381433337	50.88488657	2.78E-06	0.000122611	6.40405024	-5.641183567
PEAK1	-4.225856781	4.759344328	48.00389994	2.81E-06	0.000123842	6.872272718	2.646415937
MRGPRX3	12.09128275	0.414478326	50.77733569	2.81E-06	0.000123842	-5.631163047	6.4601197
EPSTI1	6.930373387	2.924927784	51.29721199	2.82E-06	0.000123981	-0.540258909	6.390114478
RAMP2	-6.698921789	2.476426895	49.10356629	2.83E-06	0.000124151	5.82588779	-0.873034
XIST	7.588003641	2.928019477	53.25898954	2.84E-06	0.000124403	-0.865982344	6.722021297
LINC01133	12.08217733	0.406464101	50.69228091	2.84E-06	0.000124403	-5.634624563	6.447552765
JADE2	4.363084941	4.095774278	47.86009235	2.86E-06	0.000125146	1.914231808	6.277316749
FMN1	9.884133162	0.521516409	47.5874272	2.96E-06	0.000129522	-4.420550172	5.46358299
CCDC144A	6.467064106	1.969561561	47.56558963	2.97E-06	0.000129672	-1.263970492	5.203093614
MLN	12.12787064	0.4456479	50.29939913	2.98E-06	0.000129672	-5.618287419	6.509583219
TRG-AS1	-8.396432933	0.801052484	47.50502991	3.00E-06	0.000130386	4.999268951	-3.397163983
NNT	3.433376137	6.387330989	47.48490582	3.00E-06	0.000130549	4.67064292	8.104019057
CCPG1	4.138585961	4.518244709	47.46730451	3.01E-06	0.00013067	2.448951728	6.587537689
RGS10	4.548649986	4.09784741	47.44054534	3.02E-06	0.00013095	1.823522417	6.372172403
LY96	9.046319966	2.836351331	55.60085418	3.04E-06	0.000131343	-1.686808652	7.359511314
HOXB13	12.01099541	0.355882507	50.09103408	3.05E-06	0.000131416	-5.649615198	6.361380211
NCEH1	5.937816657	5.647188503	55.53478706	3.06E-06	0.000131416	2.678280174	8.616096831
AC026719.1	11.99814928	0.377023066	50.06267007	3.06E-06	0.000131416	-5.622051574	6.376097706
MYH13	9.038113716	0.635909213	47.33435047	3.07E-06	0.000131416	-3.883147645	5.154966072
AC090740.1	-5.501006658	3.804749936	50.32082184	3.07E-06	0.000131416	6.555253265	1.054246607
IPMK	3.496449376	5.982360139	47.32262576	3.07E-06	0.000131416	4.234135451	7.730584827
ZNF471	8.310015279	0.926606564	47.31961752	3.07E-06	0.000131416	-3.228401075	5.081614204
SOX15	5.565060587	4.773625488	53.16741988	3.07E-06	0.000131416	1.991095194	7.556155781
SERPINA5	-11.9856828	0.365882868	49.99576834	3.09E-06	0.000131546	6.358724265	-5.62695853
PPP1R14A	4.296171106	4.357084089	47.27750433	3.09E-06	0.000131546	2.208998536	6.505169642
C14orf132	-9.11885974	2.65624655	54.81583943	3.09E-06	0.000131546	7.21567642	-1.90318332
PMAIP1	-3.462634702	8.685786661	47.27055535	3.09E-06	0.000131546	10.41710401	6.954469309
F2	12.06829073	0.387442015	49.90139703	3.12E-06	0.000132711	-5.646703349	6.421587378
ZNF135	9.346517708	0.751105473	47.26258454	3.14E-06	0.000133119	-3.92215338	5.424364327
AL583856.1	-4.155040175	4.328670945	47.14980822	3.14E-06	0.000133119	6.406191033	2.251150858
NNT-AS1	3.632915955	5.39707761	47.12037359	3.15E-06	0.000133457	3.580619633	7.213535587
LINC01607	-11.97686541	0.314621616	49.80647271	3.16E-06	0.000133517	6.303054321	-5.673811089
SLITRK6	-11.99270748	0.325893682	49.77662618	3.17E-06	0.000133819	6.322247425	-5.67046006
TUBA4A	-4.629457858	4.856488597	49.98811795	3.18E-06	0.000134012	7.171217526	2.541759669
KDM4E	12.01102031	0.456144132	49.74243818	3.18E-06	0.000134012	-5.549366023	6.461654287
KLHL18	3.606418684	6.273824075	47.00802923	3.20E-06	0.000134547	4.470614733	8.077033417
AL450472.1	12.06517576	0.383799053	49.63861231	3.22E-06	0.000135207	-5.648788829	6.416386935
PRF1	9.871296788	0.438424733	46.95090158	3.22E-06	0.000135207	-4.497223661	5.374073127
AC078883.1	-4.443348718	4.09263474	46.86246067	3.26E-06	0.000136622	6.314309099	1.870960381
TMEM62	5.011989079	3.364785369	46.82333212	3.28E-06	0.000137151	0.858790829	5.870779908
TNFAIP3	5.786900629	2.917994197	47.08746342	3.29E-06	0.000137278	0.024543883	5.811444512
AC022140.2	-6.723250792	1.979847301	46.74536807	3.31E-06	0.000138183	5.341472697	-1.381778095
UBE2Q2	3.472513983	7.363892136	46.73695553	3.32E-06	0.000138183	5.627635144	9.100149127
GATM	-4.567388497	3.706345268	46.69647164	3.34E-06	0.000138745	5.990039517	1.42265102
LINC02267	11.99973583	0.324127668	49.31658089	3.35E-06	0.000139259	-5.675740248	6.323995583
INPP5D	4.70045601	4.124460656	47.43357202	3.39E-06	0.00014063	1.774232651	6.474688661
BMI1	4.498387137	4.528974116	47.84093349	3.42E-06	0.000141541	2.279780547	6.778167684
AP002851.1	-8.652137959	0.777894184	46.45052379	3.45E-06	0.000142621	5.103963164	-3.548174795
PLSCR4	4.922917825	3.336986105	46.33842597	3.50E-06	0.00014457	0.875527192	5.798445018
TMEM123	-3.520499738	7.157177139	46.32949075	3.50E-06	0.00014457	8.917427008	5.39692727
DNAJA4	6.655379782	1.96294821	46.31358336	3.51E-06	0.000144687	-1.364741681	5.290638102
SORL1	-3.817803577	4.912659925	46.24634176	3.54E-06	0.000145688	6.821561713	3.003758136
TRAF5	-5.020487764	3.479190412	46.24259326	3.54E-06	0.000145688	5.989434295	0.96894653
MT1JP	7.28809645	2.488760144	49.32942968	3.56E-06	0.000146174	-1.155288081	6.132808369
SMPDL3B	-4.859809001	3.69996959	46.16038582	3.58E-06	0.00014692	6.129874091	1.270065089
OVGP1	5.328131891	2.863277312	46.11460486	3.61E-06	0.000147586	0.199211367	5.527343257
POLR3G	-3.348133815	7.215725956	46.10728777	3.61E-06	0.000147586	8.889792864	5.541659049
CDX2	11.91315978	0.292702226	48.69759263	3.62E-06	0.000147688	-5.663877663	6.249282116
DEFB123	11.99067294	0.310794876	48.67705918	3.63E-06	0.000147869	-5.684541595	6.306131348
IGFBP5	-6.757143743	1.70009596	46.0090088	3.66E-06	0.000148802	5.078667831	-1.678475911
MGAT4C	-7.176757738	3.717297697	53.21368824	3.66E-06	0.000148802	7.305676566	0.128918828
BTBD6P1	8.560215207	0.606139997	45.95369824	3.69E-06	0.000149693	-3.673967607	4.886247601
AC008280.3	7.073335013	1.413373047	45.89276959	3.72E-06	0.000150734	-2.123294459	4.950040554
RPL13P5	4.947373066	3.716446994	46.37273156	3.75E-06	0.000151785	1.242760461	6.190133527
FSTL5	11.89516489	0.26540296	48.40021408	3.75E-06	0.000151825	-5.682179485	6.212985405
CEBPZOS	4.277592216	4.752135262	46.89103912	3.80E-06	0.000153052	2.613339154	6.89093137
AC106897.1	-8.048330593	1.071191292	45.73299323	3.80E-06	0.000153052	5.095356588	-2.952974004
SERPING1	-5.125284238	5.122974901	51.25066687	3.80E-06	0.000153052	7.68561702	2.560332782
CRYGD	7.305622363	1.677191718	45.99320138	3.80E-06	0.000153052	-1.975619464	5.330002899
DHRS4-AS1	-4.328590636	3.926545014	45.67704094	3.83E-06	0.000153801	6.090840332	1.762249696
MRGPRX1	11.89829611	0.336210494	48.07678568	3.91E-06	0.000156826	-5.612937559	6.285358547
ZNF209P	8.141241946	0.817764138	45.44876899	3.95E-06	0.000158013	-3.252856836	4.888385111
CDKN2A	10.03809687	0.904233155	47.40385338	3.95E-06	0.000158013	-4.11481528	5.92328159
ZNF849P	6.546313575	1.729961165	45.4403733	3.95E-06	0.000158013	-1.543195623	5.003117952
NIPAL1	3.564749447	5.331152163	45.37420674	3.99E-06	0.000159239	3.548777439	7.113526886
AC010931.2	-11.854216	0.236012018	47.89586244	4.00E-06	0.000159378	6.163120016	-5.69109598
AC005833.2	6.462263009	1.994490868	45.26124752	4.05E-06	0.000161176	-1.236640636	5.225622373
AL355478.1	9.500128253	1.018337016	47.63150241	4.05E-06	0.000161176	-3.73172711	5.768401143
TRIM21	-5.502560765	3.228436253	46.28212309	4.08E-06	0.000162175	5.979716635	0.47715587
TRH	6.249323692	2.350869488	45.25293043	4.09E-06	0.000162175	-0.773792358	5.475531334
ST6GALNAC5	-4.402694304	3.921670197	45.18097601	4.09E-06	0.000162249	6.123017349	1.720323045
C5orf17	11.85156473	0.212733064	47.67786439	4.11E-06	0.000162537	-5.713049299	6.138515427
CTSS	9.13091891	2.265565698	50.72233644	4.15E-06	0.000163904	-2.299893757	6.831025153
ANOS1	-4.320204641	5.126512018	47.806114	4.16E-06	0.000164137	7.286614339	2.966409698
NR2F2	8.840155924	0.423917201	44.96485653	4.22E-06	0.000166279	-3.996160761	4.843995163
AC093831.2	-12.04257947	0.403631244	47.44326864	4.23E-06	0.000166549	6.424920977	-5.617658489
HMSD	-9.286088873	0.631252	45.28168818	4.26E-06	0.000167518	5.274296437	-4.011792436
MT1P3	4.964833832	3.329882399	44.88320173	4.26E-06	0.000167518	0.847465483	5.812299315
WNT9A	8.980632334	2.884227808	52.34551573	4.27E-06	0.000167552	-1.606088359	7.374543975
C1orf21	-4.801424513	3.479243115	44.83036875	4.30E-06	0.000168315	5.879955372	1.078530859
LINC02128	-9.775637344	0.486890494	44.80848005	4.48E-06	0.000175309	5.374709166	-4.400928178
FAM162A	-3.352057808	8.676475053	44.42231588	4.54E-06	0.000177619	10.35250396	7.000446149
LINC00599	-9.01638903	2.039381237	49.62735351	4.58E-06	0.000178639	6.547575752	-2.468813278
PSMA8	8.976439559	3.011336801	51.68988253	4.58E-06	0.000178717	-1.476882979	7.49955658
PDE1C	6.981846204	1.408067009	44.26748654	4.64E-06	0.000180793	-2.082856093	4.898990112
AL353747.2	-9.773252911	0.509740814	44.69402158	4.65E-06	0.000180997	5.39636727	-4.376885641
DCTN5	3.261209057	7.785721065	44.24143391	4.66E-06	0.000180997	6.155116537	9.416325593
MLLT3	-4.980899909	3.140156072	44.23028388	4.67E-06	0.000181052	5.630606026	0.649706117
AC106872.12	11.83690229	0.161480462	46.65259407	4.67E-06	0.00018111	-5.756970685	6.079931609
SNHG27	11.79184883	0.137291074	46.61422689	4.70E-06	0.000181772	-5.75863334	6.033215488
ZFP3	4.621597366	3.459690155	44.1621622	4.71E-06	0.000182095	1.148891472	5.770488838
CLEC2A	-7.891654031	0.988948289	44.14328804	4.72E-06	0.000182316	4.934775305	-2.956878727
AL049646.1	6.411075983	1.916971038	44.13564988	4.73E-06	0.000182316	-1.288566954	5.122509029
ARMC4	-8.310914054	1.621870889	46.90226362	4.74E-06	0.000182374	5.777327916	-2.533586138
SOAT2	11.79796321	0.130903738	46.4528839	4.79E-06	0.000184411	-5.768077869	6.029885346
MMD	-3.870115995	4.550263524	43.9812247	4.83E-06	0.000185593	6.485321522	2.615205527
RHOBTB1	-8.411816334	2.108885615	48.57698362	4.85E-06	0.000186055	6.314793782	-2.097022553
CMAS	-3.314528926	7.347638967	43.90075149	4.89E-06	0.000187228	9.00490343	5.690374505
CT83	11.78830014	0.118906408	46.21533993	4.94E-06	0.000189175	-5.775243661	6.013056477
ZNF66	8.505074722	0.899768512	43.7947043	4.96E-06	0.000189559	-3.352768849	5.152305873
AC016590.1	9.05624988	0.908750141	45.59250819	4.98E-06	0.000190312	-3.619374799	5.436875082
AC079140.5	9.783183858	0.694519036	44.93390484	5.03E-06	0.000191969	-4.197072893	5.586110966
DPYSL4	-5.520303321	2.505218152	43.6540217	5.06E-06	0.000192445	5.265369812	-0.254933509
DOK5	-6.464081515	1.88066583	43.64483426	5.06E-06	0.000192445	5.112706587	-1.351374927
IQCF1	11.77465244	0.106456186	46.02494403	5.07E-06	0.000192445	-5.780870032	5.993782405
AC097534.2	-4.563170566	3.509937915	43.61537083	5.09E-06	0.000192966	5.791523198	1.228352631
LMO3	-5.209332927	2.773275477	43.53293799	5.14E-06	0.000194976	5.37794194	0.168609013
AC114803.1	-11.82529874	0.290203411	45.79587911	5.22E-06	0.000197237	6.202852781	-5.62244596
ZNF540	5.599285232	2.601532102	43.42833279	5.22E-06	0.000197237	-0.198110514	5.401174718
THEG	11.74558809	0.087112522	45.77789946	5.23E-06	0.000197237	-5.785681523	5.959906568
ZC3H6	-5.463209604	2.655036168	43.41655663	5.23E-06	0.000197237	5.38664097	-0.076568634
JPH4	-6.517699606	1.717352819	43.39043759	5.25E-06	0.000197725	4.976202622	-1.541496984
SLC6A6	3.50683412	6.054975437	43.37482344	5.26E-06	0.000197921	4.301558377	7.808392497
SNORD114-1	11.7348619	0.083926032	45.71463011	5.27E-06	0.000198137	-5.783504919	5.951356983
ZNF578	7.137425216	2.665690626	47.0351351	5.30E-06	0.000198985	-0.903021983	6.234403234
HAVCR1	8.824082272	2.70277395	50.3261096	5.32E-06	0.000199565	-1.709267186	7.114815086
CCDC144CP	5.405264956	3.384357306	45.20144099	5.35E-06	0.000200459	0.681724827	6.086989784
OVOL1	7.607258107	0.821270701	43.18634746	5.40E-06	0.00020204	-2.982358352	4.624899755
CXXC4	-5.020227271	2.924545369	43.1449876	5.43E-06	0.000202851	5.434659005	0.414431733
ST6GALNAC1	9.677932362	0.374706746	43.38110829	5.44E-06	0.000202851	-4.464259435	5.213672927
DNAJC22	11.75158861	0.07973986	45.45998919	5.45E-06	0.000203077	-5.796054447	5.955534167
LINC01024	11.73696086	0.070530046	45.43245506	5.47E-06	0.000203562	-5.797950383	5.939010475
Sep-12	11.79120971	0.113446925	45.40968663	5.48E-06	0.000203922	-5.782157932	6.009051782
GPR143	-4.138858538	4.05632774	43.02737058	5.52E-06	0.000205164	6.125757009	1.986898472
AP001258.1	-7.104519771	1.049176041	42.93366953	5.60E-06	0.000207531	4.601435927	-2.503083844
PLA2R1	5.704551506	2.231929168	42.92977062	5.60E-06	0.000207531	-0.620346585	5.08420492
LINC01559	7.77802834	2.215629961	46.49341529	5.68E-06	0.000210041	-1.673384209	6.104644131
IL6	11.69711197	0.050313649	45.12344864	5.69E-06	0.000210423	-5.798242334	5.898869632
PHYH	-3.615286589	5.052295884	42.8013751	5.71E-06	0.000210472	6.859939178	3.244652589
DNAJC15	3.324148009	9.617963503	42.79030573	5.71E-06	0.000210472	7.955889499	11.28003751
KIF5C	-3.862321555	4.465686319	42.7891829	5.72E-06	0.000210472	6.396847097	2.534525542
TAF4B	3.722506087	5.462539519	43.34192939	5.75E-06	0.000211567	3.601286475	7.323792562
KTI12	3.208031615	6.411510679	42.70482786	5.78E-06	0.000212103	4.807494871	8.015526486
TOX3	-5.62712351	2.299460436	42.69767885	5.79E-06	0.000212103	5.113022191	-0.514101319
GTF2IRD2P1	6.017588634	1.897936104	42.69464683	5.79E-06	0.000212103	-1.110858213	4.906730421
ALCAM	-7.36652698	2.994994692	47.83763031	5.79E-06	0.000212103	6.678258182	-0.688268798
LITAF	-3.379316156	5.850985305	42.6493535	5.83E-06	0.000213199	7.540643382	4.161327227
SCG2	-8.834405459	0.924405389	44.54925026	5.86E-06	0.000213924	5.341608119	-3.492797341
FAM159B	-4.444837242	3.531092207	42.54472311	5.92E-06	0.000215864	5.753510828	1.308673586
NECTIN4	9.176727577	3.671099835	55.46004883	5.92E-06	0.000215864	-0.917263953	8.259463623
VAV2	4.410887184	3.966411485	42.55565833	5.95E-06	0.00021672	1.760967893	6.171855077
MORN4	-4.109327732	3.957208438	42.49084745	5.96E-06	0.000216814	6.011872304	1.902544572
HOXB-AS1	11.74390655	0.066944325	44.71654283	6.01E-06	0.000218082	-5.805008951	5.938897601
GNAI1	-3.804450671	5.513624619	43.79392724	6.03E-06	0.000218822	7.415849954	3.611399283
NIPSNAP1	-3.374347113	6.972503134	42.39429402	6.05E-06	0.000219067	8.65967669	5.285329577
EFHD2	4.42324476	4.07280718	42.85897302	6.07E-06	0.000219815	1.861184801	6.28442956
SLC2A3	-3.331448382	8.108889693	42.31496862	6.12E-06	0.000221061	9.774613884	6.443165502
NRBP2	4.055045938	4.030704957	42.26167917	6.16E-06	0.000222501	2.003181988	6.058227926
SENP2	3.22599192	6.860860782	42.23628209	6.19E-06	0.000223057	5.247864822	8.473856742
VAT1L	-8.181935071	2.773636586	48.95520431	6.21E-06	0.00022357	6.864604122	-1.317330949
DSTNP2	3.916356664	4.340747085	42.14801382	6.26E-06	0.000225386	2.382568753	6.298925417
STEAP2	-5.432967471	3.596702487	44.69094093	6.29E-06	0.000226086	6.313186222	0.880218751
CDH2	-5.313252777	5.015959406	48.3212085	6.30E-06	0.000226123	7.672585795	2.359333017
ATP8A1	-5.518842508	2.488753987	42.09196521	6.32E-06	0.00022643	5.248175241	-0.270667266
GDF15	6.295481851	5.108287041	50.47052383	6.36E-06	0.000227541	1.960546115	8.256027966
CD7	8.135285456	0.536403532	42.0354157	6.37E-06	0.000227541	-3.531239196	4.60404626
AC064872.1	11.65065413	0.092573959	44.27273757	6.37E-06	0.000227541	-5.732753104	5.917901021
SIX2	7.85636422	0.681997534	41.96861001	6.43E-06	0.000229209	-3.246184577	4.610179644
CD44	4.172216769	3.973026257	41.96770464	6.43E-06	0.000229209	1.886917873	6.059134642
ZNF296	4.65366911	4.853184074	45.38594527	6.52E-06	0.000232068	2.526349519	7.180018629
PRSS41	11.67864775	0.00515087	44.08059717	6.53E-06	0.000232358	-5.834173003	5.844474742
KLF8	3.941497609	4.575972952	41.8424213	6.55E-06	0.000232601	2.605224147	6.546721757
JAK3	-5.299821996	2.590198071	41.78626557	6.60E-06	0.000234234	5.240109069	-0.059712927
Y_RNA_ENSG00000202402	11.61759888	0.015223091	43.97185498	6.63E-06	0.000234944	-5.793576347	5.82402253
AL050338.2	11.62259929	-0.022337662	43.90615569	6.69E-06	0.000236743	-5.833637307	5.788961984
TSPAN12	-4.041562833	4.29092978	41.62561438	6.76E-06	0.000238942	6.311711197	2.270148364
SLC23A2	3.577705417	4.847120077	41.55557756	6.83E-06	0.000241115	3.058267368	6.635972785
AICDA	7.779528304	0.55510573	41.51945049	6.86E-06	0.000242112	-3.334658422	4.444869882
GBP1	8.23248091	0.501641718	41.49955896	6.88E-06	0.000242539	-3.614598737	4.617882173
AL117378.1	-3.130213856	7.570006544	41.43912889	6.94E-06	0.000244408	9.135113472	6.004899616
LRRC3B	-11.66473839	0.009810663	43.57764577	6.99E-06	0.000245709	5.842179856	-5.82255853
AC113404.1	9.534970229	0.213767709	41.3795554	7.00E-06	0.000245986	-4.553717405	4.981252824
MAGEB6	11.61752851	-0.045654017	43.52460633	7.04E-06	0.000246908	-5.854418272	5.763110238
TDRG1	-11.61242022	0.046309194	43.46656862	7.09E-06	0.000248562	5.852519301	-5.759900914
DSG3	9.323037573	1.742208503	45.87603627	7.16E-06	0.000250668	-2.919310283	6.40372729
IDH2	-3.591434018	6.365421422	42.86935118	7.34E-06	0.000256708	8.161138431	4.569704413
PHKA1P1	5.213597832	2.587168481	41.02504536	7.38E-06	0.000257639	-0.019630436	5.193967397
DLGAP1-AS2	-3.452893841	5.167546606	41.01715958	7.38E-06	0.000257649	6.893993527	3.441099685
ISLR	-11.65299444	0.126232259	43.13791263	7.41E-06	0.000258374	5.952729479	-5.70026496
DLGAP4-AS1	-5.374967347	2.381377425	40.96252993	7.44E-06	0.000259146	5.068861099	-0.306106249
AC025569.1	4.894367375	2.88920013	40.94802825	7.46E-06	0.00025941	0.442016442	5.336383818
EXPH5	3.400465745	5.44960074	40.93468554	7.47E-06	0.00025963	3.749367867	7.149833612
MRS2	3.269501612	8.856783594	40.83752334	7.58E-06	0.000263078	7.222032788	10.4915344
DCAF4	3.547312223	5.556379716	41.01074506	7.66E-06	0.000265565	3.782723605	7.330035827
Sep-14	8.220770958	0.293654526	40.70657184	7.73E-06	0.000267517	-3.816730953	4.404040005
ASH2L	3.101086117	7.676130861	40.69502949	7.74E-06	0.000267517	6.125587802	9.226673919
FAM198B	11.62146249	0.123500492	42.81041534	7.75E-06	0.000267517	-5.687230752	5.934231735
TINCR	6.952691327	2.521566006	44.03431239	7.75E-06	0.000267517	-0.954779657	5.99791167
MAP3K13	5.313549327	4.084468541	44.6689399	7.80E-06	0.000268698	1.427693877	6.741243204
MARK2P9	11.55194104	-0.093680961	42.75912111	7.80E-06	0.000268698	-5.86965148	5.682289558
NKG7	11.62059435	-0.054545924	42.71233421	7.85E-06	0.000270045	-5.864843102	5.755751253
NEGR1	-7.36730301	0.949984842	40.59308768	7.86E-06	0.000270045	4.633636347	-2.733666663
AARS2	4.215954464	5.631443033	43.90410047	7.89E-06	0.000270591	3.523465801	7.739420265
PHLDA3	6.29099111	4.394792065	46.82000247	7.94E-06	0.000272078	1.24929651	7.54028762
