gene	seqnames	start	end	gata2	gata3	tfap2a	tfap2c	logFC	adj.P.Val
DOCK4	chr7	111842962	111851462	0	0	0	0	0.730208765	2.73E-08
DOCK5	chr8	25037286	25045786	0	1	0	1	-1.067002764	4.50E-08
DOCK6	chr19	11369668	11378168	0	0	0	0	0.366747288	0.023893611
DOCK7	chr1	63150539	63159039	0	1	0	0	0.47922717	1.36E-06
DOCK8	chr9	209864	218364	0	0	0	0	1.340110245	6.17E-09
DOCK8	chr9	268047	276547	0	0	0	0	1.340110245	6.17E-09
DOCK9	chr13	99626838	99635338	1	1	1	1	3.975082061	4.62E-20
DOCK9	chr13	99735160	99743660	0	0	0	0	3.975082061	4.62E-20
DOCK9-AS2	chr13	99733976	99742476	0	0	0	0	4.048757286	1.55E-09
DOHH	chr19	3497121	3505621	0	0	0	0	-1.208157286	2.06E-09
DOHH	chr19	3497438	3505938	0	0	1	1	-1.208157286	2.06E-09
DOK1	chr2	74771146	74779646	0	0	0	0	-2.417702084	2.79E-15
DOK1	chr2	74776511	74785011	0	0	1	1	-2.417702084	2.79E-15
DOK4	chr16	57516885	57525385	0	1	1	0	3.735994678	1.74E-21
DOK5	chr20	53087265	53095765	0	0	0	0	-1.209480069	1.02E-10
DOK6	chr18	67063283	67071783	0	0	0	0	2.331034091	5.07E-09
DOK7	chr4	3481270	3489770	0	0	0	0	1.751979396	0.014064297
DOK7	chr4	3460032	3468532	0	0	0	0	1.751979396	0.014064297
DOLK	chr9	131706512	131715012	0	0	0	0	-0.613556963	1.28E-07
DOLPP1	chr9	131838382	131846882	0	0	0	0	-1.040993513	8.97E-13
DONSON	chr21	34957514	34966014	0	0	0	0	-0.256650479	0.000347032
DOPEY1	chr6	83772384	83780884	0	0	1	0	0.434736085	2.39E-07
DOPEY2	chr21	37531838	37540338	1	1	1	1	3.354883052	2.02E-17
DOT1L	chr19	2159147	2167647	0	0	0	1	0.665327474	6.95E-06
DPAGT1	chr11	118969285	118977785	0	0	0	0	-0.425626257	1.52E-05
DPCD	chr10	103343088	103351588	0	0	0	0	-0.753909429	2.21E-06
DPCR1	chr6	30903776	30912276	0	0	1	0	-3.581469797	0.004034203
DPEP1	chr16	89681999	89690499	0	0	0	0	-5.226948062	2.05E-06
DPEP1	chr16	89674715	89683215	0	0	0	0	-5.226948062	2.05E-06
DPEP3	chr16	68010952	68019452	0	0	0	0	-2.751988337	4.11E-13
DPF1	chr19	38711390	38719890	0	0	0	0	-2.754259192	1.90E-12
DPF1	chr19	38716817	38725317	0	0	0	0	-2.754259192	1.90E-12
DPF2	chr11	65096224	65104724	0	0	0	0	-0.364265974	3.58E-05
DPF3	chr14	73355857	73364357	0	0	0	0	5.427166607	1.94E-06
DPF3	chr14	73357324	73365824	0	0	0	0	5.427166607	1.94E-06
DPH1	chr17	1928430	1936930	0	0	0	0	0.343437839	0.000280023
DPH2	chr1	44430652	44439152	0	0	0	0	-1.928288264	2.30E-15
DPH3	chr3	16302996	16311496	0	0	0	0	-0.917837716	1.68E-09
DPH3P1	chr20	61471475	61479975	0	0	0	0	-1.338953072	5.08E-05
DPH5	chr1	101487862	101496362	0	0	0	0	-0.73610903	1.71E-09
DPH6	chr15	35834904	35843404	0	0	0	0	-1.037603119	2.27E-08
DPH7	chr9	140469887	140478387	0	0	0	0	-0.840071232	6.57E-09
DPM1	chr20	49571560	49580060	0	0	0	0	-0.497398527	5.40E-05
DPM2	chr9	130697263	130705763	0	0	0	0	-0.552481152	2.51E-06
DPM3	chr1	155109496	155117996	0	0	0	0	0.439438874	0.000458897
DPM3	chr1	155109383	155117883	0	0	0	0	0.439438874	0.000458897
DPP10	chr2	115194898	115203398	0	0	0	0	0.797879496	5.66E-06
DPP10	chr2	115817246	115825746	0	0	0	0	0.797879496	5.66E-06
DPP10	chr2	115214179	115222679	0	0	0	0	0.797879496	5.66E-06
DPP10	chr2	115914683	115923183	0	0	0	0	0.797879496	5.66E-06
DPP10	chr2	115914512	115923012	0	0	0	0	0.797879496	5.66E-06
DPP3	chr11	66242483	66250983	0	0	1	1	-0.719827203	4.03E-10
DPP4	chr2	162927552	162936052	0	1	1	1	-1.181706011	4.06E-05
DPP7	chr9	140005695	140014195	0	0	0	0	1.255498657	4.03E-08
DPP8	chr15	65806535	65815035	0	0	0	0	0.357134513	6.80E-05
DPP8	chr15	65806109	65814609	0	0	0	0	0.357134513	6.80E-05
DPPA2	chr3	109031864	109040364	0	1	1	1	-5.128990161	1.43E-08
DPPA3	chr12	7859088	7867588	0	1	0	1	-2.055810578	0.005712559
DPPA4	chr3	109052919	109061419	0	0	0	0	-3.43141066	1.07E-23
DPPA5	chr6	74060499	74068999	0	0	0	0	-4.717636059	5.54E-10
DPY19L1	chr7	35074153	35082653	0	0	0	0	0.795125932	1.17E-09
DPY19L2P2	chr7	102917413	102925913	0	0	0	0	-0.903105481	0.036661455
DPY19L2P2	chr7	102917259	102925759	0	0	0	0	-0.903105481	0.036661455
DPY19L2P3	chr7	29719769	29728269	0	1	0	0	1.720242365	0.00043641
DPY19L2P4	chr7	89743713	89752213	0	0	0	0	-1.082688364	0.025053971
DPY19L4	chr8	95727102	95735602	0	0	0	0	0.800318058	1.16E-08
DPYSL2	chr8	26430920	26439420	0	0	1	0	-1.142183113	1.72E-12
DPYSL2	chr8	26366708	26375208	0	0	0	0	-1.142183113	1.72E-12
DPYSL2	chr8	26430339	26438839	0	0	1	0	-1.142183113	1.72E-12
DPYSL3	chr5	146829760	146838260	0	0	0	1	-1.183988511	3.07E-14
DPYSL3	chr5	146886119	146894619	0	0	0	0	-1.183988511	3.07E-14
DPYSL4	chr10	133995413	134003913	0	0	0	0	-2.053505216	4.49E-11
DPYSL5	chr2	27066291	27074791	0	0	0	0	-2.973680277	4.20E-15
DPYSL5	chr2	27066156	27074656	0	0	0	0	-2.973680277	4.20E-15
DPYSL5	chr2	27065968	27074468	0	0	0	0	-2.973680277	4.20E-15
DR1	chr1	93806477	93814977	0	0	0	0	-0.469443126	2.90E-06
DRAM1	chr12	102266104	102274604	0	0	0	1	1.249811421	1.87E-10
DRAM2	chr1	111679338	111687838	0	0	0	0	0.729287128	3.07E-08
DRAP1	chr11	65681727	65690227	0	0	0	0	-1.140876642	8.17E-12
DRAXIN	chr1	11746780	11755280	0	0	0	0	-3.182393645	3.70E-16
DRD2	chr11	113342501	113351001	0	0	0	0	2.300462086	0.001664657
DRD3	chr3	113894399	113902899	0	0	0	0	-4.043662362	1.28E-08
DRD3	chr3	113914754	113923254	0	0	0	0	-4.043662362	1.28E-08
DRD4	chr11	632304	640804	0	0	0	0	-2.923423327	0.006297015
DRG2	chr17	17986180	17994680	0	0	0	0	-0.343869563	1.41E-05
DROSHA	chr5	31528782	31537282	0	0	0	0	-0.200027917	0.035365491
DRP2	chrX	100469932	100478432	0	0	0	0	3.511395907	9.35E-09
DSC1	chr18	28739319	28747819	0	0	0	0	3.164180959	0.000479584
DSC2	chr18	28678888	28687388	0	0	1	1	2.490252996	6.39E-19
DSCAM	chr21	42215539	42224039	0	0	0	0	-1.615459342	0.037439334
DSCC1	chr8	120864670	120873170	0	0	0	0	-1.901008656	8.78E-14
DSCR3	chr21	38636333	38644833	0	0	0	1	-0.333954168	0.000254803
DSE	chr6	116596282	116604782	0	0	0	0	-0.549437342	5.73E-10
DSE	chr6	116687109	116695609	0	0	1	1	-0.549437342	5.73E-10
DSEL	chr18	65180467	65188967	0	0	0	0	-1.254600101	2.80E-10
DSG2	chr18	29073026	29081526	0	0	0	0	0.663395529	5.67E-08
DSN1	chr20	35398730	35407230	0	0	0	0	-0.262631652	0.010109384
DSN1	chr20	35398654	35407154	0	0	0	0	-0.262631652	0.010109384
DSP	chr6	7536869	7545369	0	1	1	1	4.01575484	8.87E-18
DST	chr6	56713214	56721714	0	0	0	0	1.177717665	4.20E-13
DST	chr6	56815926	56824426	0	0	1	1	1.177717665	4.20E-13
DST	chr6	56704963	56713463	0	0	0	1	1.177717665	4.20E-13
DST	chr6	56504194	56512694	0	0	0	0	1.177717665	4.20E-13
DSTN	chr20	17545598	17554098	0	1	1	1	1.267664025	1.41E-14
DSTNP2	chr12	6988845	6997345	0	0	0	0	-1.551233446	2.62E-06
DTD1	chr20	18563555	18572055	0	0	0	0	-1.754035024	1.35E-16
DTD2	chr14	31923180	31931680	0	1	0	0	-1.502527722	5.39E-12
DTL	chr1	212203894	212212394	0	0	0	0	-1.319097227	4.06E-11
DTNA	chr18	32330939	32339439	1	1	0	0	-0.797899663	0.006798094
DTNA	chr18	32168281	32176781	1	1	1	1	-0.797899663	0.006798094
DTNA	chr18	32393301	32401801	0	0	0	0	-0.797899663	0.006798094
DTNA	chr18	32392925	32401425	0	0	0	0	-0.797899663	0.006798094
DTNA	chr18	32393246	32401746	0	0	0	0	-0.797899663	0.006798094
DTNA	chr18	32285195	32293695	0	0	0	0	-0.797899663	0.006798094
DTNA	chr18	32068253	32076753	0	0	0	0	-0.797899663	0.006798094
DTNB	chr2	25869591	25878091	0	0	0	0	-1.57889915	5.30E-15
DTNB	chr2	25893016	25901516	0	0	0	0	-1.57889915	5.30E-15
DTNB	chr2	25872029	25880529	0	0	0	0	-1.57889915	5.30E-15
DTNBP1	chr6	15659789	15668289	0	0	0	0	1.251753236	1.66E-06
DTWD2	chr5	118320740	118329240	0	1	1	1	-1.915229169	4.05E-12
DTX1	chr12	113490661	113499161	0	0	0	1	-3.289405165	4.76E-12
DTX2P1-UPK3BP1-PMS2P11	chr7	76605138	76613638	0	0	0	0	0.355765178	0.006197473
DTX3	chr12	57993404	58001904	0	0	0	0	-0.312415979	0.010202155
DTX3L	chr3	122278184	122286684	0	0	0	0	1.108664869	2.45E-11
DTX4	chr11	58934811	58943311	0	1	1	0	1.166779488	2.26E-11
DTYMK	chr2	242622883	242631383	0	0	0	0	-0.795495195	8.91E-10
DUOXA1	chr15	45418559	45427059	0	0	0	0	2.215978293	0.02072685
DUOXA1	chr15	45411741	45420241	0	1	0	0	2.215978293	0.02072685
DUOXA1	chr15	45418574	45427074	0	0	0	0	2.215978293	0.02072685
DUOXA1	chr15	45418575	45427075	0	0	0	0	2.215978293	0.02072685
DUS1L	chr17	80020197	80028697	0	0	0	0	-0.24908518	0.008646077
DUS2	chr16	68051846	68060346	0	0	0	0	-1.095381442	5.77E-13
DUS3L	chr19	5787749	5796249	0	0	0	0	-1.29014017	5.54E-09
DUS4L	chr7	107199401	107207901	0	0	0	0	-0.843373972	1.66E-06
DUSP1	chr5	172194703	172203203	0	0	0	0	1.060275284	1.02E-06
DUSP10	chr1	221907302	221915802	0	0	0	0	1.272775774	0.000411467
DUSP10	chr1	221912016	221920516	0	0	0	0	1.272775774	0.000411467
DUSP11	chr2	74003784	74012284	0	0	0	0	0.355871547	0.000801509
DUSP12	chr1	161714580	161723080	0	0	0	0	-0.408335129	0.000140137
DUSP13	chr10	76855748	76864248	0	1	0	1	-3.21896896	0.000676478
DUSP13	chr10	76865470	76873970	0	0	0	0	-3.21896896	0.000676478
DUSP14	chr17	35844950	35853450	0	0	0	0	0.901505747	1.25E-10
DUSP15	chr20	30454301	30462801	0	0	0	0	-0.73363749	0.036273736
DUSP15	chr20	30454511	30463011	0	0	0	0	-0.73363749	0.036273736
DUSP15	chr20	30454979	30463479	0	0	0	0	-0.73363749	0.036273736
DUSP16	chr12	12711948	12720448	0	1	0	0	-1.553619156	5.46E-16
DUSP18	chr22	31060372	31068872	0	0	0	0	0.982374919	3.44E-05
DUSP19	chr2	183938286	183946786	0	0	0	0	-1.279273964	3.54E-06
DUSP2	chr2	96807679	96816179	1	1	0	1	-1.415374128	9.48E-08
DUSP22	chr6	287056	295556	0	0	1	1	0.600394497	6.23E-09
DUSP23	chr1	159745758	159754258	0	0	0	0	-0.261393414	0.014828688
DUSP26	chr8	33453939	33462439	0	0	0	0	-4.440537595	1.65E-08
DUSP27	chr1	167059086	167067586	0	0	1	1	1.223333341	0.00103036
DUSP28	chr2	241494470	241502970	0	0	0	1	0.610720723	0.002723678
DUSP3	chr17	41852868	41861368	0	0	0	0	1.564762235	4.81E-14
DUSP4	chr8	29202822	29211322	0	0	0	1	-0.810687633	0.000244304
DUSP4	chr8	29204767	29213267	0	0	0	1	-0.810687633	0.000244304
DUSP5	chr10	112252624	112261124	0	1	1	1	2.03884131	3.61E-10
DUSP5P1	chr1	228775656	228784156	0	0	0	0	4.736704553	2.79E-08
DUSP6	chr12	89742796	89751296	0	1	0	1	-2.498443332	2.49E-13
DUSP7	chr3	52086961	52095461	0	0	0	0	-1.893477141	3.73E-11
DUSP8	chr11	1589650	1598150	0	0	0	1	3.021507315	2.77E-05
DUT	chr15	48618620	48627120	0	0	1	1	-1.071552611	1.05E-08
DUT	chr15	48619364	48627864	0	0	1	1	-1.071552611	1.05E-08
DVL2	chr17	7134363	7142863	0	0	0	0	0.21076469	0.008628515
DVL3	chr3	183868283	183876783	0	0	0	1	1.426358007	2.69E-15
DXO	chr6	31936532	31945032	0	0	0	0	0.497295016	1.62E-05
DYDC2	chr10	82111523	82120023	0	0	0	0	-5.400469205	3.63E-11
DYDC2	chr10	82099500	82108000	0	0	0	0	-5.400469205	3.63E-11
DYM	chr18	46983579	46992079	0	0	0	0	0.292086092	0.001443349
DYNC1H1	chr14	102425864	102434364	0	0	0	0	0.211729683	0.013224575
DYNC1I1	chr7	95396817	95405317	0	0	0	0	1.812261445	1.91E-06
DYNC1I2	chr2	172539181	172547681	0	0	0	0	0.796522477	2.65E-11
DYNC1I2	chr2	172538918	172547418	0	0	0	0	0.796522477	2.65E-11
DYNC1LI1	chr3	32608866	32617366	0	0	0	0	-0.841973108	7.76E-10
DYNC1LI2	chr16	66782025	66790525	0	0	0	0	0.161799265	0.020409244
DYNC2H1	chr11	102975159	102983659	0	0	0	0	-0.731934413	5.93E-07
DYNC2LI1	chr2	43996177	44004677	0	0	0	0	0.325558594	0.027890368
DYNLL1	chr12	120928858	120937358	0	0	0	0	-0.496108993	2.27E-05
DYNLL1	chr12	120902659	120911159	0	0	1	1	-0.496108993	2.27E-05
DYNLL2	chr17	56155779	56164279	0	0	0	1	0.253949039	0.010167097
DYNLRB1	chr20	33099188	33107688	0	0	0	0	0.371499569	0.000329882
DYNLT3	chrX	37703389	37711889	0	0	0	0	0.66333692	0.000157303
DYRK1B	chr19	40321341	40329841	0	0	0	0	1.598748862	7.62E-10
DYRK2	chr12	68037511	68046011	0	0	0	1	-0.194135055	0.008874389
DYRK3	chr1	206803880	206812380	0	0	0	0	-2.708847809	1.48E-12
DYRK4	chr12	4709028	4717528	0	0	0	0	0.838532295	1.84E-07
DYRK4	chr12	4694237	4702737	0	0	0	0	0.838532295	1.84E-07
DYSF	chr2	71675752	71684252	0	1	1	1	0.321492112	0.003070126
DYSF	chr2	71688831	71697331	0	0	0	0	0.321492112	0.003070126
DYX1C1	chr15	55796932	55805432	0	0	0	0	-1.14922781	0.000117598
DZANK1	chr20	18444329	18452829	0	0	0	0	-2.261778783	2.31E-11
DZIP1	chr13	96293460	96301960	0	0	0	0	-1.168896098	1.07E-07
DZIP1L	chr3	137828822	137837322	0	0	0	1	-1.134558939	1.38E-07
DZIP1L	chr3	137830951	137839451	0	0	0	1	-1.134558939	1.38E-07
DZIP3	chr3	108303336	108311836	0	0	0	0	-0.452210702	6.25E-06
E2F1	chr20	32270710	32279210	0	0	0	0	-0.814709281	6.34E-09
E2F2	chr1	23854212	23862712	0	1	0	1	-0.692740085	0.000284215
E2F3	chr6	20398909	20407409	0	0	0	1	-0.947205781	8.17E-12
E2F3	chr6	20397136	20405636	0	0	0	1	-0.947205781	8.17E-12
E2F4	chr16	67221067	67229567	0	0	0	0	-0.673471834	1.16E-08
E2F5	chr8	86094909	86103409	0	0	0	0	-0.789278082	1.26E-11
E2F5	chr8	86084618	86093118	0	0	0	0	-0.789278082	1.26E-11
E2F6	chr2	11602803	11611303	0	0	0	0	-0.441006731	6.69E-05
E2F7	chr12	77455860	77464360	0	0	0	0	-1.641588855	7.85E-11
E2F8	chr11	19259702	19268202	0	1	0	0	-1.21734725	4.84E-10
E2F8	chr11	19259007	19267507	0	1	0	0	-1.21734725	4.84E-10
E2F8	chr11	19259667	19268167	0	1	0	0	-1.21734725	4.84E-10
EAF2	chr3	121549033	121557533	0	0	0	1	-0.967908675	1.20E-05
EAPP	chr14	35005443	35013943	0	0	0	0	0.824086602	1.56E-09
EARS2	chr16	23565196	23573696	0	0	0	0	-1.243564398	1.50E-14
EBAG9	chr8	110547854	110556354	0	0	0	1	-0.487946524	4.07E-05
EBAG9	chr8	110546928	110555428	0	0	0	1	-0.487946524	4.07E-05
EBAG9	chr8	110547303	110555803	0	0	0	1	-0.487946524	4.07E-05
EBF3	chr10	131758591	131767091	0	0	0	0	2.015872364	0.003230424
EBF4	chr20	2668523	2677023	0	0	0	0	1.594242174	0.000989798
EBNA1BP2	chr1	43634741	43643241	0	0	0	0	-1.041114094	6.12E-11
EBNA1BP2	chr1	43634486	43642986	0	0	0	0	-1.041114094	6.12E-11
EBP	chrX	48375163	48383663	0	0	0	0	-1.406997696	4.96E-14
EBPL	chr13	50262123	50270623	0	0	0	0	-2.30029725	6.25E-17
ECD	chr10	74924353	74932853	0	0	0	0	-0.603809211	4.83E-10
ECE1	chr1	21613266	21621766	0	0	0	0	0.931556218	3.64E-11
ECE1	chr1	21613482	21621982	0	0	0	0	0.931556218	3.64E-11
ECE1	chr1	21668534	21677034	0	0	1	1	0.931556218	3.64E-11
ECE1	chr1	21602683	21611183	0	0	0	0	0.931556218	3.64E-11
ECE2	chr3	183988798	183997298	0	0	0	0	-0.828087423	3.50E-09
ECE2	chr3	183962444	183970944	0	0	0	0	-0.828087423	3.50E-09
ECEL1	chr2	233349032	233357532	0	0	0	0	-2.996757424	5.91E-11
ECEL1P2	chr2	233248254	233256754	0	1	0	0	3.075108883	1.06E-09
ECH1	chr19	39318997	39327497	1	1	1	1	0.36966407	0.00058229
ECHDC2	chr1	53383946	53392446	0	1	0	0	1.117857885	2.31E-08
ECHDC3	chr10	11779355	11787855	0	0	0	0	-0.790134972	1.72E-06
ECHS1	chr10	135183408	135191908	0	0	0	0	-0.510760145	1.66E-06
ECI2	chr6	4132202	4140702	0	0	1	0	-0.690467484	4.58E-10
ECI2	chr6	4132331	4140831	0	0	1	0	-0.690467484	4.58E-10
ECM2	chr9	95294874	95303374	0	0	0	0	2.256518927	0.004251028
ECSCR	chr5	138838820	138847320	0	0	1	1	-6.000918374	6.80E-12
ECSIT	chr19	11636180	11644680	0	1	0	0	-0.726629142	2.30E-07
ECSIT	chr19	11636487	11644987	0	1	0	0	-0.726629142	2.30E-07
ECT2	chr3	172463474	172471974	0	0	0	0	-1.071827191	9.08E-14
EDA	chrX	68830910	68839410	0	0	0	0	-2.67871884	3.84E-14
EDA2R	chrX	65832372	65840872	0	0	0	0	0.631570712	5.94E-05
EDA2R	chrX	65855640	65864140	0	0	0	0	0.631570712	5.94E-05
EDA2R	chrX	65855392	65863892	0	0	0	0	0.631570712	5.94E-05
EDARADD	chr1	236553715	236562215	0	0	0	0	-1.147558294	1.05E-13
EDARADD	chr1	236552679	236561179	0	0	0	0	-1.147558294	1.05E-13
EDEM1	chr3	5224358	5232858	0	1	0	0	0.308845185	0.00234705
EDEM2	chr20	33731661	33740161	0	1	0	0	1.358428826	3.38E-13
EDF1	chr9	139757288	139765788	0	0	0	0	-0.279385124	0.004622498
EDIL3	chr5	83677185	83685685	0	0	1	0	-0.424563837	0.002145535
EDN1	chr6	12285528	12294028	0	1	0	1	4.050517017	6.85E-08
EDNRB	chr13	78489466	78497966	0	0	1	1	3.904996126	4.36E-10
EDNRB	chr13	78546164	78554664	0	1	0	0	3.904996126	4.36E-10
EDNRB	chr13	78490403	78498903	0	0	1	1	3.904996126	4.36E-10
EEA1	chr12	93319607	93328107	0	0	0	1	0.376342847	7.54E-05
EED	chr11	85950805	85959305	0	0	1	1	-0.847448332	2.00E-08
EEF1A1	chr6	74227255	74235755	0	0	0	0	0.524346988	8.19E-05
EEF1A2	chr20	62127168	62135668	0	0	0	1	1.291413962	5.69E-13
EEF1B2	chr2	207019317	207027817	0	0	1	0	-0.369857865	1.97E-05
EEF1D	chr8	144676058	144684558	0	0	0	0	-0.250407903	0.001935251
EEF1D	chr8	144676345	144684845	0	0	0	0	-0.250407903	0.001935251
EEF1G	chr11	62337960	62346460	0	0	0	0	0.184841129	0.004506642
EEF2K	chr16	22212591	22221091	0	0	1	1	-1.133919051	2.72E-12
EFCAB1	chr8	49644370	49652870	0	0	0	0	2.44736318	0.007020302
EFCAB10	chr7	105218476	105226976	0	0	0	0	-0.381139767	0.004984773
EFCAB11	chr14	90417621	90426121	0	0	1	0	0.301493079	0.021027468
EFCAB11	chr14	90417401	90425901	0	0	1	0	0.301493079	0.021027468
EFCAB14	chr1	47181236	47189736	0	0	0	0	0.611577235	1.50E-09
EFCAB14-AS1	chr1	47134707	47143207	0	0	0	0	0.901204827	3.55E-05
EFCAB2	chr1	245128170	245136670	0	0	1	1	-0.386981756	0.030428786
EFCAB2	chr1	245128283	245136783	0	0	1	1	-0.386981756	0.030428786
EFCAB2	chr1	245128630	245137130	0	0	1	1	-0.386981756	0.030428786
EFCC1	chr3	128715471	128723971	0	0	0	0	-2.520709133	0.005036147
EFEMP1	chr2	56147798	56156298	0	0	0	0	-0.637476953	1.70E-05
EFEMP2	chr11	65636905	65645405	0	0	0	0	2.784785106	1.57E-15
EFHB	chr3	19972206	19980706	0	0	0	0	-2.075623776	0.015833041
EFHC2	chrX	44199423	44207923	0	0	0	0	-2.658184359	7.73E-06
EFHD1	chr2	233465766	233474266	0	0	0	0	3.253598038	1.02E-10
EFHD1	chr2	233493206	233501706	0	0	0	0	3.253598038	1.02E-10
EFHD2	chr1	15731390	15739890	0	1	0	1	0.345081254	0.003586249
EFNA1	chr1	155095348	155103848	0	1	1	1	5.850528581	1.36E-19
EFNA3	chr1	155046347	155054847	0	1	0	1	-1.328242751	9.13E-10
EFNA4	chr1	155031212	155039712	0	1	0	1	-0.733803454	2.00E-07
EFNB1	chrX	68043839	68052339	0	0	0	0	2.596283089	4.36E-17
EFNB2	chr13	107183888	107192388	0	0	1	0	3.994052101	2.14E-20
EFNB3	chr17	7603519	7612019	0	0	0	0	1.189373554	1.81E-10
EFR3A	chr8	132911355	132919855	0	0	0	0	0.753203863	3.86E-08
EFR3B	chr2	25259972	25268472	0	0	1	0	-1.28586324	6.30E-10
EFS	chr14	23831342	23839842	0	0	1	1	0.5566508	1.50E-05
EFTUD1	chr15	82551604	82560104	0	0	0	0	-0.883632645	8.36E-11
EFTUD1P1	chr15	84743938	84752438	0	0	0	0	-1.281666181	1.92E-08
EFTUD2	chr17	42973493	42981993	0	0	0	0	-0.823744857	4.18E-12
EFTUD2	chr17	42973236	42981736	0	0	0	0	-0.823744857	4.18E-12
EGF	chr4	110829039	110837539	0	0	1	0	-1.347151935	9.36E-08
EGFL6	chrX	13582693	13591193	0	0	0	0	-1.505250462	0.010875059
EGFL7	chr9	139555223	139563723	0	0	0	0	-0.709513655	0.000127533
EGFL7	chr9	139552378	139560878	0	0	0	1	-0.709513655	0.000127533
EGFL7	chr9	139548307	139556807	0	0	0	1	-0.709513655	0.000127533
EGFR	chr7	55081724	55090224	0	0	0	0	3.931826794	8.02E-16
EGFR-AS1	chr7	55253142	55261642	0	0	0	0	4.606855981	8.89E-07
EGLN1	chr1	231557290	231565790	0	0	0	0	1.662249499	4.25E-15
EGLN3	chr14	34416784	34425284	0	0	0	0	-1.244215958	2.82E-11
EGR1	chr5	137796180	137804680	0	0	0	0	3.631551467	2.35E-10
EGR2	chr10	64575427	64583927	0	0	0	0	1.500359286	0.000437841
EGR2	chr10	64572626	64581126	0	0	0	0	1.500359286	0.000437841
EGR3	chr8	22546593	22555093	0	0	0	0	4.982228334	6.81E-06
EGR3	chr8	22546402	22554902	0	0	0	0	4.982228334	6.81E-06
EGR3	chr8	22547315	22555815	0	0	0	0	4.982228334	6.81E-06
EGR4	chr2	73517329	73525829	0	0	0	0	4.978556613	6.44E-08
EHBP1	chr2	62895985	62904485	0	0	0	0	1.24557367	5.76E-13
EHBP1	chr2	62928000	62936500	0	0	1	0	1.24557367	5.76E-13
EHBP1	chr2	62929031	62937531	0	0	1	0	1.24557367	5.76E-13
EHBP1L1	chr11	65338508	65347008	0	0	0	1	2.118212754	1.09E-13
EHD1	chr11	64643685	64652185	0	0	1	1	1.820633021	1.79E-15
EHD1	chr11	64642740	64651240	0	0	1	1	1.820633021	1.79E-15
EHD2	chr19	48211600	48220100	0	0	0	0	1.645990605	3.01E-08
EHD3	chr2	31451879	31460379	0	0	1	0	0.531180873	9.66E-07
EHD4	chr15	42261255	42269755	0	0	0	0	-0.39437689	0.000114052
EHHADH	chr3	184968386	184976886	0	0	0	0	1.071194186	4.90E-06
EHMT1	chr9	140508443	140516943	0	0	1	1	-0.650631615	6.36E-07
EHMT2	chr6	31861964	31870464	0	0	0	0	-1.340988022	2.30E-12
EI24	chr11	125434297	125442797	0	0	0	0	0.203542214	0.01267923
EID1	chr15	49165289	49173789	0	0	0	0	-0.747205052	6.65E-08
EID2B	chr19	40019994	40028494	0	0	0	0	-1.130704141	0.000788329
EID3	chr12	104692509	104701009	0	0	0	0	-2.335400058	8.15E-05
EIF1	chr17	39840126	39848626	0	0	1	0	0.584133602	3.19E-06
EIF1AD	chr11	65766137	65774637	0	0	0	0	-0.626930278	2.88E-07
EIF1AX	chrX	20156466	20164966	0	0	0	0	-1.055533411	6.10E-11
EIF1B	chr3	40346172	40354672	0	0	0	0	0.419301586	0.001965196
EIF2AK2	chr2	37371465	37379965	0	0	0	0	-0.495501247	4.04E-06
EIF2AK2	chr2	37380690	37389190	0	0	0	0	-0.495501247	4.04E-06
EIF2AK4	chr15	40221346	40229846	0	0	0	0	-1.284197363	5.36E-14
EIF2B1	chr12	124114823	124123323	0	0	0	0	-0.411249573	1.16E-06
EIF2B2	chr14	75464611	75473111	0	0	1	1	-0.299043517	0.000808109
EIF2B3	chr1	45448894	45457394	0	0	0	0	-1.781740117	1.68E-15
EIF2B4	chr2	27589824	27598324	0	1	0	0	-0.239610931	0.013582363
EIF2B4	chr2	27589419	27597919	0	1	0	0	-0.239610931	0.013582363
EIF2B5	chr3	183847809	183856309	0	0	0	0	-0.240755094	0.000408473
EIF2S1	chr14	67822033	67830533	0	0	0	1	-0.712674536	6.43E-10
EIF2S2	chr20	32696585	32705085	0	0	0	0	-0.644451324	1.78E-09
EIF2S3	chrX	24068064	24076564	0	0	0	0	-0.275569143	0.000225483
EIF3B	chr7	2389473	2397973	0	0	0	0	-0.854721483	7.36E-14
EIF3C	chr16	28411709	28420209	0	0	0	0	-0.547236699	8.23E-06
EIF3C	chr16	28434275	28442775	0	0	0	0	-0.547236699	8.23E-06
EIF3C	chr16	28717737	28726237	0	0	0	0	-0.547236699	8.23E-06
EIF3C	chr16	28694878	28703378	0	0	0	0	-0.547236699	8.23E-06
EIF3CL	chr16	28717784	28726284	0	0	0	0	-0.580897478	5.32E-06
EIF3CL	chr16	28411662	28420162	0	0	0	0	-0.580897478	5.32E-06
EIF3D	chr22	36921777	36930277	0	0	0	0	0.331958783	1.32E-06
EIF3F	chr11	8003866	8012366	0	0	0	0	0.981470734	2.63E-12
EIF3H	chr8	117764562	117773062	0	0	0	0	0.168623809	0.000976086
EIF3I	chr1	32682970	32691470	0	0	0	0	-0.65073464	2.04E-10
EIF3J	chr15	44824265	44832765	0	0	0	0	-0.467661244	9.12E-07
EIF3J-AS1	chr15	44825598	44834098	0	0	0	0	0.374709916	0.014297142
EIF3J-AS1	chr15	44825621	44834121	0	0	0	0	0.374709916	0.014297142
